player,club,before,after,change
"Grady Diangana","West Brom","2019-2020","2019-2024",""
"Tyler Morton","Liverpool","2021-2024","2021-2021 + 2024-2024","stint split"
"Tyler Morton","Hull City","2023-2024","2023-2023","end pulled in"
"Dan Chesters","Colchester","2022-2023","2022-2022","end pulled in"
"Jay Tabb","Brentford","2005-2005","2002-2005","start earlier"
"Jay Tabb","Coventry","2006-2007","2006-2008",""
"Rene Gilmartin","Walsall","2008-2009","2005-2009","start earlier"
"Filip Uremovic","Sheffield Utd","2022-2022","2021-2021","start earlier + end pulled in"
"Luke Croll","Eastleigh","2023-2024","2023-2023","end pulled in"
"Ian Maatsen","Burnley","2022-2023","2022-2022","end pulled in"
"Ian Maatsen","Chelsea","2019-2023","2019-2019 + 2023-2023","stint split"
"Konrad Laimer","FC Liefering","2013-2013","2013-2014",""
"Tyler Dibling","Southampton","2021-2024","2021-2025",""
"Simon Vukcevic","Blackburn","2011-2011","2011-2012",""
"Dale Stephens","Brighton","2013-2019","2013-2020",""
"Dale Stephens","Charlton","2011-2012","2011-2013",""
"Antonio Mata","Tenerife","1995-1998","1992-1998","start earlier"
"Jacob Mellis","Bolton","2020-2020","2019-2019","start earlier + end pulled in"
"Jacob Mellis","Gillingham","2020-2021","2020-2020","end pulled in"
"Abde Ezzalzouli","Barcelona","2021-2023","2021-2021 + 2023-2023","stint split"
"Mike Büskens","FC Schalke 04","1995-2001","1992-1998 + 2000-2001","start earlier + stint split"
"Jordan Green","Gillingham","2022-2023","2022-2022","end pulled in"
"Jordan Green","Newport County","2016-2016","2016-2016 + 2019-2019","stint split"
"Jordan Green","Yeovil Town","2017-2017","2017-2018",""
"Jordan Green","Ramsgate","2022-2024","2022-2023","end pulled in"
"James Chester","Aston Villa","2016-2018","2016-2019",""
"James Chester","Peterborough","2009-2009","2008-2009","start earlier"
"James Chester","Barrow","2023-2024","2023-2023","end pulled in"
"Jimmy Morgan","Gillingham","2025-2025","2024-2025","start earlier"
"Nathan Baker","Bristol City","2015-2022","2015-2015 + 2017-2021","end pulled in + stint split"
"Nathan Baker","Millwall","2011-2012","2011-2011","end pulled in"
"Nathan Baker","Aston Villa","2009-2014","2009-2010 + 2012-2016","stint split"
"Adam Dodd","United of Manchester","2019-2024","2019-2020","end pulled in"
"Karim Bellarabi","Bayer Leverkusen","2011-2022","2011-2012 + 2014-2022","stint split"
"Ahmed Hassan","SC Braga","2015-2019","2015-2017 + 2019-2019","stint split"
"Fábio","Manchester United","2008-2013","2008-2011 + 2013-2013","stint split"
"Fábio","Middlesbrough","2016-2016","2016-2017",""
"Filipe Teixeira","West Brom","2008-2008","2007-2009","start earlier"
"Neville Southall","Everton","1995-1997","1992-1997","start earlier"
"Max Kinsey","Bournemouth","2026-2026","2024-2026","start earlier"
"Tomás Esteves","Reading","2020-2021","2020-2020","end pulled in"
"Michael Verrips","Sheffield Utd","2019-2020","2019-2021",""
"Aaron Tshibola","Hartlepool","2015-2015","2014-2014","start earlier + end pulled in"
"Rubén Olivera","Juventus","2002-2004 + 2007-2007","2002-2002 + 2004-2004 + 2007-2007","stint split"
"Antonio Sanabria","Real Betis","2016-2020","2016-2018 + 2020-2020","stint split"
"Darnell Johnson","Fleetwood Town","2021-2022","2021-2021","end pulled in"
"Darnell Johnson","Forest Green","2023-2024","2023-2023","end pulled in"
"Ricardo Mendiguren","Athletic Club","1995-1995","1992-1995","start earlier"
"Bryan Ruiz","Fulham","2011-2013","2011-2014",""
"Nathan Wood-Gordon","Middlesbrough","2018-2020","2018-2021",""
"Nathan Wood-Gordon","Crewe","2021-2021","2020-2020","start earlier + end pulled in"
"Sam Mather","Tranmere","2025-2025","2024-2025","start earlier"
"Mikele Leigertwood","Crystal Palace","2004-2004","2003-2005","start earlier"
"Mikele Leigertwood","Reading","2010-2012","2010-2013",""
"Mikele Leigertwood","QPR","2008-2009","2007-2010","start earlier"
