name,keeps_seasons,absorbs_seasons,shared_clubs,rows_merged
"Alan Smith","1992-1994","1991-1991","arsenal",1
"Alberto López Moreno","1993-2000","1995-2000 + 1995-2000","racing santander / valladolid",12
"Antonio Pacheco","1991-2004","1996-2004","albacete / benfica / espanyol / inter / reggiana",5
"Bjørn Otto Bragstad","2000-2000","2000-2000 + 2000-2000","derby county",2
"Carlos García","1995-1998","1992-1994","athletic club",3
"Carlos Pérez Álvarez","1992-1995","1995-1995 + 1995-1995","celta vigo",2
"César Palacios","2000-2008","1993-1993","numancia / osasuna",1
"Dani García","1995-2004","1993-1994","barcelona / espanyol / mallorca / real madrid / zaragoza",2
"David Martín Jiménez","1996-1996","1996-1996 + 1996-1996","valladolid",2
"Fernando","1995-2009","1995-1995","deportivo la coruna / hannover 96 / malaga / osasuna / porto / real betis / real madrid / valladolid",1
"Fernando De Napoli","1992-1994","1996-1996","ac milan / milan / reggiana",1
"Guillermo Daniel Rodríguez","2005-2005","2005-2005 + 2005-2005","lens",2
"Ion Andoni Goikoetxea","1991-1994","1995-1996","athletic club / barcelona",2
"Iván Alonso López","1995-1995","1995-1995 + 1995-1995","valladolid",2
"Jan Vennegoor of Hesselink","2009-2009","2009-2009 + 2009-2009","hull city",2
"Javi Navarro","1995-2006","1993-1994","sevilla / valencia",2
"Jorge Cordero Sánchez","1999-2024","1999-2000 + 1999-2000","mallorca / mexico",4
"Jorge Pérez Sáenz","1997-1999","1997-1999 + 1997-1999 + 1998-1998","athletic club / numancia",7
"José Antonio Luque","2002-2002","2002-2002 + 2002-2002","recreativo",2
"José Antonio Serrano","2004-2004","2004-2004 + 2004-2004","getafe",2
"José Luis Morales","1995-1999","1995-1999 + 1993-1994","logrones / numancia / sporting gijon",5
"José Mari García","1992-1999","1995-1999 + 1995-1999 + 1994-1998","athletic club / barcelona / osasuna / real betis",12
"José Miguel Pérez Ruiz","2000-2000","2000-2000 + 2000-2000","mallorca",2
"Juan Carlos Moreno","1995-2008","1995-2008 + 1995-2008","barcelona / numancia",6
"Juan Muñiz","1995-2000","1992-1994","numancia / rayo vallecano / sporting gijon",3
"Luis Milla","1995-2000","1992-1994","real madrid / valencia",3
"Marcelo Martins Moreno","2008-2008","2010-2010","shakhtar d.",1
"Nacho","1995-2004","1994-1994","alaves / compostela / levante / malaga",1
"Nicki Bille Nielsen","2006-2006","2006-2006","reggina",1
"Pape Malick Diop","1999-2007","1999-2007 + 2007-2007","lorient / metz / strasbourg",5
"Pape Seydou Diop","1998-1998","1998-1998","lens",1
"Pedro González Martínez","1992-1995","1995-1995 + 1995-1995","atletico madrid / sevilla",2
"Roger","1995-2005","1994-1994","barcelona / espanyol / villarreal",1
"Rubén Estévez González","2001-2001","2001-2001 + 2001-2001","tenerife",2
"Sergio Tejero García","2002-2009","2002-2002 + 2002-2002","barcelona / levante / real betis / recreativo / spain / valladolid / zaragoza",2
"Trond Fredrik Ludvigsen","2001-2001","2001-2001 + 2001-2001","hertha bsc",2
