name,keeps_birth_date,seasons_moved,goals_moved,clubs_moved,stat_rows,career_rows,honours,transfers
"Ronaldo","1990-04-08","1996-2004",175,"Barcelona / Brazil / Inter / Real Madrid",14,3,15,0
"Victor","1995-01-04","1995-2008",92,"Tenerife / Valladolid / Villarreal",11,4,0,0
"El Diouf","2004-12-28","1998-2009",47,"Blackburn / Bolton / Lens / Liverpool / Rennes / Senegal / Sochaux / Sunderland",15,7,0,0
"Dani García","1990-05-24","1995-2004",43,"Barcelona / Espanyol / Mallorca / Real Madrid / Zaragoza",15,6,1,0
"Fred","1993-03-05","2005-2007",37,"Brazil / Lyon",7,1,0,0
"José Mari","1987-12-06","1996-2001",36,"AC Milan / Atletico Madrid / Sevilla",8,3,0,0
"Niko Kovač","2005-04-08","1996-2008",35,"Bayer Leverkusen / Bayern München / Croatia / Hamburger SV / Hertha BSC",18,4,0,0
"Víctor Sánchez","1987-09-08","1995-2001",34,"Deportivo La Coruna / Racing Santander / Real Madrid",10,3,1,0
"Carlos Domínguez","2001-02-11","1995-2004",27,"Mallorca / Sevilla",10,3,0,0
"Moussa N'Diaye","2002-06-18","1998-2006",24,"Ajaccio / Auxerre / Istres / Monaco / Sedan / Senegal",9,4,0,0
"Moussa Ndiaye","2002-06-18","1998-2006",24,"Ajaccio / Auxerre / Istres / Monaco / Sedan",8,4,0,0
"Guilherme","1991-04-05","1995-1996",24,"Rayo Vallecano",2,1,0,0
"Antonio Pacheco","2002-01-03","1996-2004",23,"Albacete / Espanyol / Inter / Reggiana",5,4,0,0
"Krisztián Lisztes","2005-05-06","1995-2005",22,"Borussia Mönchengladbach / Ferencváros / VfB Stuttgart / Werder Bremen",11,3,0,0
"Émerson","1986-02-23","1996-2000",21,"AS Roma / Bayer Leverkusen / Brazil / Deportivo La Coruna / Lorient / Middlesbrough / Perugia / Tenerife",11,7,0,0
"Mamadou Diallo","1994-09-19","1998-2008",21,"Le Havre / MSV Duisburg / Nantes",5,3,0,0
"Soumaïla Coulibaly","2003-10-14","2000-2008",18,"Borussia Mönchengladbach / SC Freiburg",5,2,0,0
"Gilberto","1993-03-07","1998-2007",16,"Brazil / Hertha BSC / Inter / Tottenham",7,3,0,0
"Ederson","1993-08-17","2004-2007",16,"Nice",4,1,0,0
