outcome,player,league,season,apps,goals,club,name_source,transfermarkt_name
resolved,"Aaron Ramsey","Championship",2024,1,0,"Burnley",player_stats,""
resolved,"Aaron Ramsey","Championship",2025,9,2,"Leicester",player_stats,""
resolved,"Abdoulaye Doucouré","Saudi Pro League",2025,13,0,"NEOM",teams,"NEOM SC"
resolved,"Abdul Baba","Championship",2021,29,0,"Reading",player_stats,""
resolved,"Abdul Baba","Championship",2022,18,0,"Reading",player_stats,""
resolved,"Abdul Fatawu","Primeira Liga",2022,6,0,"Sporting CP",alias,"Sporting"
resolved,"Abdul Fatawu","Championship",2023,40,6,"Leicester",player_stats,""
resolved,"Abdul Fatawu","Championship",2025,44,9,"Leicester",player_stats,""
resolved,"Adam Armstrong","Championship",2018,44,5,"Blackburn",player_stats,""
resolved,"Adam Armstrong","Championship",2019,46,16,"Blackburn",player_stats,""
resolved,"Adam Armstrong","Championship",2020,40,28,"Blackburn",player_stats,""
resolved,"Adam Armstrong","Championship",2023,46,21,"Southampton",player_stats,""
resolved,"Adam Armstrong","Championship",2024,16,3,"West Brom",player_stats,""
resolved,"Adam Armstrong","Championship",2025,29,11,"Southampton",player_stats,""
resolved,"Adama Traoré","Championship",2016,1,0,"Aston Villa",player_stats,""
resolved,"Adama Traoré","Championship",2017,34,5,"Middlesbrough",player_stats,""
resolved,"Adam Lallana","Championship",2006,1,0,"Southampton",player_stats,""
resolved,"Adam Lallana","Championship",2008,40,1,"Southampton",player_stats,""
resolved,"Adam Lallana","Championship",2011,41,11,"Southampton",player_stats,""
resolved,"Adam Webster","Championship",2011,3,0,"Portsmouth",player_stats,""
resolved,"Adam Webster","Championship",2017,28,0,"Ipswich",player_stats,""
resolved,"Adem Ljajic","UEFA Europa League",2008,2,0,"Partizan",player_stats,""
resolved,"Adem Ljajic","Süper Lig",2018,27,9,"Beşiktaş",player_stats,"Besiktas"
resolved,"Adem Ljajic","Süper Lig",2019,24,5,"Beşiktaş",player_stats,"Besiktas"
resolved,"Adem Ljajic","Süper Lig",2020,22,2,"Beşiktaş",player_stats,"Besiktas"
resolved,"Adem Ljajic","Süper Lig",2023,2,0,"Fatih Karagümrük",teams~,"Karagümrük"
resolved,"Ademola Lookman","Championship",2015,24,5,"Charlton",player_stats,""
resolved,"Adnan Januzaj","Süper Lig",2022,11,2,"Başakşehir",player_stats,"Basaksehir"
resolved,"Adrien Silva","UEFA Europa League",2007,2,0,"Sporting CP",player_stats,""
resolved,"Adrien Silva","Primeira Liga",2007,7,0,"Sporting CP",player_stats,""
resolved,"Adrien Silva","Primeira Liga",2008,13,0,"Sporting CP",player_stats,""
resolved,"Adrien Silva","Primeira Liga",2009,13,0,"Sporting CP",player_stats,""
resolved,"Adrien Silva","Primeira Liga",2012,19,3,"Sporting CP",player_stats,""
resolved,"Adrien Silva","Primeira Liga",2013,28,8,"Sporting CP",player_stats,""
resolved,"Adrien Silva","Primeira Liga",2014,30,8,"Sporting CP",player_stats,""
resolved,"Adrien Silva","Primeira Liga",2015,29,8,"Sporting CP",player_stats,""
resolved,"Adrien Silva","Primeira Liga",2016,27,4,"Sporting CP",player_stats,""
resolved,"Adrien Silva","Primeira Liga",2017,3,1,"Sporting CP",player_stats,""
resolved,"Afonso Moreira","Primeira Liga",2023,4,0,"GIL Vicente",teams,"Gil Vicente"
