stored_as,restored_to
"José Ceballos","José María Ceballos"
"Wolfgang Beer","Wolfgang de Beer"
"Jon Hjelde","Jon Olav Hjelde"
"José Flores","José Oscar Flores"
"Miguel Pérez","Miguel Ángel Moralejo Pérez"
"Enrique Lucas","Enrique de Lucas"
"Joaquín Olmo","Joaquín del Olmo"
"Carlos Martínez","Carlos Alfaro Martínez"
"Juan Unzué","Juan Carlos Unzué"
"José Herrera","José Oscar Herrera"
"Karl Løken","Karl Petter Løken"
"Arjan Zeeuw","Arjan de Zeeuw"
"Rafael Torres","Rafael García Torres"
"Dennis Nooijer","Dennis de Nooijer"
"Ahmad Abedzadeh","Ahmad Reza Abedzadeh"
"Baldur Bjarnason","Baldur Þór Bjarnason"
"José Ruiz","José Miguel Pérez Ruiz"
"Jorge Núñez","Jorge Martín Núñez"
"Nuno Coelho","Nuno André Coelho"
"Fernando Napoli","Fernando De Napoli"
"Jóhann Guðmundsson","Jóhann Berg Guðmundsson"
"David Jiménez","David Martín Jiménez"
"Ari Skúlason","Ari Freyr Skúlason"
"Francisco Gento","Francisco Llorente Gento"
"Jorge Sánchez","Jorge Cordero Sánchez"
"José Sousa","José Carlos Leite de Sousa"
"Marcelo Faria","Marcelo de Faria"
"José Soria","José Carlos Soria"
"Pedro Duque","Pedro Pareja Duque"
"Jerome Mbekeli","Jerome Ngom Mbekeli"
"Julio Yegros","Julio César Yegros"
"Stig Bjørnebye","Stig Inge Bjørnebye"
"José Baroja","José Luis Baroja"
"Guly Prado","Guly do Prado"
"Cheick Diarra","Cheick Fantamady Diarra"
"Steinar Guðgeirsson","Steinar Þór Guðgeirsson"
"Luis Torres","Luis Gil Torres"
"Fernando Alarcón","Fernando Cebrián Alarcón"
"Ángel García","Ángel de Juana García"
"José Duque","José María López Duque"
"Ahmed Malek","Ahmed Eid Abdel Malek"
"Trond Ludvigsen","Trond Fredrik Ludvigsen"
"Jesús Sanjuán","Jesús García Sanjuán"
"William Andrade","William Amaral de Andrade"
"Roberto Zerbi","Roberto De Zerbi"
"Moez Cherifia","Moez Ben Cherifia"
"Luis Beltrán","Luis Miguel López Beltrán"
"Jerry Jong","Jerry de Jong"
"César Ruiz","César Porras Ruiz"
"Hassan Fakiri","Hassan El Fakiri"
"Genilson Oliveira","Genilson Andres de Oliveira"
"Gustavo Schelotto","Gustavo Barros Schelotto"
"Francisco Sánchez","Francisco Javier Flores Sánchez"
"Martín Camaño","Martín Nicolás Camaño"
"Jean-Paul Gastel","Jean-Paul van Gastel"
"Joris Hout","Joris Van Hout"
"Jan Fjørtoft","Jan Åge Fjørtoft"
"Ioan Moga","Ioan Sebastian Moga"
"Thierry Neef","Thierry De Neef"
"Christophe Roux","Christophe Le Roux"
"Jean-Louis Akpro","Jean-Louis Akpa Akpro"
"Veigar Gunnarsson","Veigar Páll Gunnarsson"
"Luigi Rocca","Luigi Della Rocca"
"José Franco","José María Franco"
"Luis Centi","Luis Fernando Centi"
"Juan Rojas","Juan Rodrigo Rojas"
"Luis Páez","Luis Fernando Páez"
"Axel Konan","Axel Cédric Konan"
"Knut Fostervold","Knut Anders Fostervold"
"Jan Hesselink","Jan Vennegoor of Hesselink"
"Héctor Martínez","Héctor David Martínez"
"Peter Houdt","Peter Van Houdt"
"Mohamed Nafkha","Mohamed Ali Nafkha"
"Arie Lent","Arie van Lent"
"Nagm Abdalla","Nagm Eldin Abdalla"
"Tore Dahlum","Tore André Dahlum"
"Julio Manzur","Julio César Manzur"
"José Lumbreras","José María Lumbreras"
"Juan Ochoa","Juan Cruz Ochoa"
"Mohamed Amor","Mohamed Ben Amor"
"Juan Chávez","Juan Carlos Chávez"
"Benjamin Ondo","Benjamin Zé Ondo"
"Jan Hesselink","Jan Vennegoor of Hesselink"
"Eulânio Gomes","Eulânio Ângelo Chipela Gomes"
"Seidou Barazé","Seidou Guéro Barazé"
"Guðmundur Magnússon","Guðmundur Ingi Magnússon"
"Bechir Said","Bechir Ben Said"
"Jean-Baptiste Bescond","Jean-Baptiste Le Bescond"
"Al Nooh","Al Gozoli Nooh"
"José Serer","José Pérez Serer"
"Carlos Silva","Carlos Mauro Pereira da Silva"
"José Tárraga","José Manuel Tárraga"
"Jean Lazare","Jean Thierry Lazare"
"Antonio Rodríguez","Antonio Monreal Rodríguez"
"Arturo Napoli","Arturo Di Napoli"
