year,position,player,clue
2006,DF,Cafú,The Brazilian defender who captained the side to the quarter-finals
2006,DF,Éric Abidal,The French left-back who scored in the final
2006,DF,Fabio Cannavaro,The Italian defender who captained the champions
2006,DF,Fabio Grosso,The Italian defender who scored in the final
2006,DF,Gianluca Zambrotta,The Italian defender who scored in the quarter-final
2006,DF,Marco Materazzi,The Italian defender who scored in the final
2006,DF,Roberto Ayala,The Argentine defender who scored in the quarter-final
2006,DF,Vladyslav Vashchuk,The Ukrainian defender who was sent off against Spain
2006,DF,Willy Sagnol,The French defender who scored in the final
2006,FW,Alessandro Del Piero,The Italian forward who scored in the final
2006,FW,Andriy Shevchenko,The Ukrainian forward who captained the side to the quarter-finals
2006,FW,Cristiano Ronaldo,The Portuguese forward who scored in the quarter-final
2006,FW,David Villa,The Spanish striker who scored twice
2006,FW,Didier Drogba,The Ivorian striker who captained the side
2006,FW,Dwight Yorke,The Trinidadian forward who captained the side
2006,FW,Fernando Torres,The Spanish striker who scored twice
2006,FW,Julio Cruz,The Argentine forward who scored in the quarter-final against Germany
2006,FW,Luca Toni,The Italian striker who scored twice against Ukraine
2006,FW,Lukas Podolski,The German striker who won the Best Young Player award
2006,FW,Mark Viduka,The Australian forward who captained the side
2006,FW,Miroslav Klose,The German striker who won the Golden Boot
2006,FW,Oliver Neuville,The German forward who scored in the quarter-final
2006,FW,Raúl,The Spanish forward who captained the side
2006,FW,Sylvain Wiltord,The French forward who scored in the final
2006,FW,Thierry Henry,The French forward who scored in the quarter-final
2006,FW,Wayne Rooney,The English striker who was sent off
2006,GK,Edwin van der Sar,The Dutch goalkeeper who captained the side
2006,GK,Gianluigi Buffon,The Italian goalkeeper who won the Golden Glove
2006,MF,Andrea Pirlo,The Italian defensive midfielder who scored in the final
2006,MF,Bastian Schweinsteiger,The German central midfielder who scored twice
2006,MF,Costinha,The Portuguese midfielder who was sent off
2006,MF,Daniele De Rossi,The Italian defensive midfielder who scored in the final
2006,MF,David Beckham,The English right midfielder who captained the side to the quarter-finals
2006,MF,Deco,The Portuguese midfielder who was sent off
2006,MF,Johann Vogel,The Swiss midfielder who captained the side
2006,MF,Luís Figo,The Portuguese midfielder who captained the side to the semi-finals
2006,MF,Michael Ballack,The German midfielder who scored in the quarter-final
2006,MF,Owen Hargreaves,The English midfielder who scored in the quarter-final
2006,MF,Simão,The Portuguese winger who scored in the quarter-final against England
2006,MF,Tim Borowski,The German midfielder who scored in the quarter-final against Argentina
2006,MF,Tomas Rosicky,The Czech attacking midfielder who scored twice against the United States
2006,MF,Zinédine Zidane,The French midfielder who won the Golden Ball
2010,DF,Arne Friedrich,The German defender who scored in the quarter-final against Argentina
2010,DF,Carles Puyol,The Spanish centre-back who scored in the semi-final against Germany
2010,DF,Daniel Agger,The Danish centre-back who scored an own goal against Netherlands
2010,DF,Fabio Cannavaro,The Italian defender who captained the side
2010,DF,John Heitinga,The Dutch centre-back who was sent off against Spain
2010,DF,Lúcio,The Brazilian centre-back who captained the side to the quarter-finals
2010,DF,Maxi Pereira,The Uruguayan defender who scored in the semi-final against Netherlands
2010,DF,Philipp Lahm,The German right-back who captained the side to the semi-finals
2010,FW,Arjen Robben,The Dutch winger who scored in the semi-final
2010,FW,Carlos Tevez,The Argentine forward who scored twice
2010,FW,Cristiano Ronaldo,The Portuguese forward who captained the side
2010,FW,David Villa,The Spanish striker who scored twice
